Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Deutschland,01/01/2021,2.2,0.5,1.4,-2.4,,0.64,0,0,12.3,195.52,,13.6,,92.6,Rain
Deutschland,01/02/2021,2.2,-0.4,0.7,-4.3,,0.1,0,0,13,150.08,,12.4,0,91.75,Rain
Deutschland,01/03/2021,0.4,-0.8,0.1,-4.8,,6.29,0,0,18.9,50.79,,8.7,0,94.88,Rain
Deutschland,01/04/2021,0.6,0.3,0.4,-3.6,,1.13,0,0,13.4,54.08,,9.1,,96.84,Rain
Deutschland,01/05/2021,2.2,0.4,1.2,-3.2,,0.6,0,0,13.4,89.5,,8.5,,95.87,Rain
Deutschland,01/06/2021,2.6,0.6,1.4,-3.4,,1.96,0,0,14.9,287.04,,19.2,,96.35,Rain
Deutschland,01/07/2021,1.1,0.3,0.7,-4.4,,0.12,0,0,17.1,241.46,,25.7,,92.54,Rain
Deutschland,01/08/2021,1.2,0,0.5,-3,,0.14,0,0,10.2,235.5,,11.3,,93.34,Rain
Deutschland,01/09/2021,1.8,-0.1,0.9,-2.8,,0.31,0,0,11,273.58,,6.6,,96.36,Rain
Deutschland,01/10/2021,1.3,-1.2,0.2,-5.9,,0.01,0,0,15.3,240.67,,14,,91.18,Rain
Deutschland,01/11/2021,1.2,-1.2,0.1,-6,,0.45,0,0,22.7,210.58,,30.3,0,84.71,Rain
Deutschland,01/12/2021,2.5,0.5,1.2,-5.1,,3.51,0,0,25.3,236.13,,17.5,0,92.52,Rain
Deutschland,01/13/2021,2.9,-0.2,1.2,-6.2,,2.54,0,0,28.4,255.96,,39.5,0,88.11,Rain
Deutschland,01/14/2021,1.7,-0.5,0.7,-6.8,,1.89,0,0,28.6,305.58,,25,,91.6,Rain
Deutschland,01/15/2021,0.8,-3.1,-0.8,-8.2,,0.2,0,0,18.6,330,,23.9,13,84,Rain
Deutschland,01/16/2021,-1.1,-3.1,-2.2,-7.9,,0.04,0,0,19.5,287.79,,35.8,,76.08,Rain
Deutschland,01/17/2021,-1.1,-5.5,-3.1,-10,,0,0,0,10.9,182.71,,33.1,0,83.94,Clear
Deutschland,01/18/2021,2,-6.6,-2.4,-10.5,,4.13,0,0,21.2,185.58,,9.2,,92.8,Rain
Deutschland,01/19/2021,3.8,0.5,2,-4.2,,6.85,0,0,19.2,213.13,,12,13,95.51,Rain
Deutschland,01/20/2021,7.8,3,5.4,-1,,0.43,0,0,22.3,205.92,,24.2,,79.24,Rain
